,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
11,Pemprov DKI Jakarta,@DKIJakarta,2021-05-26T12:01:39.000Z,"[TERBARU] Penanganan #COVID19 di Jakarta.
(1/2) Update data tes PCR/antigen, kasus dan vaksinasi DKI Jakarta 26 Mei 2021. Strategi tes, lacak dan isolasi terus digencarkan untuk temukan sebanyaknya kasus positif agar tidak menularkan virus.
#JagaJakarta  #PSBBJakarta #PPKM",,,7,7,18,"['https://pbs.twimg.com/media/E2UACOtVoAInrgz?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2UADEZVcAIu0ek?format=jpg&name=360x360']",https://twitter.com/DKIJakarta/status/1397523323865559048
12,Dinas Sumber Daya Air DKI Jakarta,@DinasSDAJakarta,2021-05-26T11:01:07.000Z,"UPDATE Tinggi Muka Air, Rabu 26 Mei 2021 Pukul 18.00 WIB. 
@aniesbaswedan
@ArizaPatria
@DKIJakarta
@DinasSDAJakarta
@BPBDJakarta
@BeritaJakarta
#PasukanBiru
#PerluTahu
#JAKI
http://facebook.com/DinasSDAProvDKIJkrt/…",,,,,1,['https://pbs.twimg.com/media/E2TyMISVUAQl3AI?format=jpg&name=small'],https://twitter.com/DinasSDAJakarta/status/1397508090598072320
13,#FreeHabibRieziqShihab,@imbangimedia,2021-05-26T10:42:41.000Z,"Fitnah beda dengan kritik. Fitnah jelas harus dilaporkan kepada 
@DivHumas_Polri
 . Apalagi Pak 
@aniesbaswedan
 tentu sudah paham sepak terjang #BuzzeRp yg memfitnahnya. Jangan gentar untuk melaporkan buzzer Pak. Cc 
@DKIJakarta","Maudy Asmara
@Mdy_Asmara1701
 · May 26
Sosok pemimpin yang konsisten!

""Saya tidak akan gentar hanya karena dikritik!"" Anies Baswedan
0:54
3.7K views",,,1,1,['https://pbs.twimg.com/profile_images/1393724706692288514/7Se9wbBf_mini.jpg'],https://twitter.com/imbangimedia/status/1397503448753467392
14,Om Budhi Uban,@BudhiJade,2021-05-26T10:33:04.000Z,"Insha Allah, Saya Mitra Driver GoRide Gojek siap di Vaksinasi Covid19 Tahap 2, Bismillahirrahmanirrahim...
@gojekindonesia
 @HalodocID
 @KemenkesRI
 @DKIJakarta
 @DishubDKI_JKT",,,1,,1,['https://pbs.twimg.com/media/E2TrxtkUYAAtv_J?format=jpg&name=small'],https://twitter.com/BudhiJade/status/1397501030879797250
15,Romi,@romi_mr,2021-05-26T10:13:37.000Z,"RT lah yang paling mengenal warga yg berdomisili di #kalibatacity.  RT juga perpanjangan tangan pemerintahan NKRI di 
@dkijakarta
 , karena warga TIDAK tinggal di negara republik developer cc perumahandki","The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/romi_mr/status/1397496133669122049
16,Dinas Sumber Daya Air DKI Jakarta,@DinasSDAJakarta,2021-05-26T10:08:44.000Z,"UPDATE Tinggi Muka Air, Rabu 26 Mei 2021 Pukul 17.00 WIB. 
@aniesbaswedan
@ArizaPatria
@DKIJakarta
@DinasSDAJakarta
@BPBDJakarta
@BeritaJakarta
#PasukanBiru
#PerluTahu
#JAKI
http://facebook.com/DinasSDAProvDKIJkrt/…",,,,,1,['https://pbs.twimg.com/media/E2TmMrPVcAI5YKj?format=jpg&name=small'],https://twitter.com/DinasSDAJakarta/status/1397494904176005122
17,Pemprov DKI Jakarta,@DKIJakarta,2021-05-26T09:39:10.000Z,"Jadwal dan Tata Cara Pra Pendaftaraan Penerimaan Peserta Didik Baru (PPDB) secara daring untuk jenjang SMP, SMA dan SMK, dimulai tanggal 24 Mei - 4 Juni 2021 melalui website https://sidanira.jakarta.go.id

#ppdbdki2021
#Jakartasiapsekolah
#ayojakartasekolah
#dkijakarta
#Kotakolaborasi",,,5,6,11,"['https://pbs.twimg.com/media/E2TfbvVVcAks1OV?format=jpg&name=small', 'https://pbs.twimg.com/media/E2Tfb7GUYAE7El1?format=jpg&name=small']",https://twitter.com/DKIJakarta/status/1397487464365785089
18,Dinas Sumber Daya Air DKI Jakarta,@DinasSDAJakarta,2021-05-26T09:08:56.000Z,"Kegiatan kuras saluran di Jln. Lapangan Banteng Selatan Kec. Sawah Besar (SSDA Jak-Pus).
@aniesbaswedan
@ArizaPatria
@DKIJakarta
@DinasSDAJakarta
@BPBDJakarta
@BeritaJakarta
#PasukanBiru 
#JAKI 
#perlutahu
#OperasiSiagaIbuKota
#jagajakarta",,,,,3,"['https://pbs.twimg.com/media/E2TYfaIVcAAWS3t?format=jpg&name=small', 'https://pbs.twimg.com/media/E2TYfaOUYAAJ-wC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2TYfaTVcAQL4Ox?format=jpg&name=360x360']",https://twitter.com/DinasSDAJakarta/status/1397479859031404547
19,Dinas Sumber Daya Air DKI Jakarta,@DinasSDAJakarta,2021-05-26T09:06:32.000Z,"Kegiatan Perbaikan Turap Kali Sentiong di Lokasi Jln. Kampung Rawa Sawah Kel. Kampung Rawa Kec. Johar Baru (SSDA Jak-Pus).
@aniesbaswedan
@ArizaPatria
@DKIJakarta
@DinasSDAJakarta
@BPBDJakarta
@BeritaJakarta
#PasukanBiru 
#JAKI 
#perlutahu
#OperasiSiagaIbuKota
#JagaJakarta",,,,1,6,"['https://pbs.twimg.com/media/E2TX4DxVgAISHNo?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2TX4D1VgAE8ME9?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2TX4DyVoAEpUx_?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2TX4D2VkAAhLBq?format=jpg&name=360x360']",https://twitter.com/DinasSDAJakarta/status/1397479251763351554
20,JakShared,@patriot016610,2021-05-26T08:44:55.000Z,"Atas nama Pemprov 
@DKIJakarta
 kami ""
@aniesbaswedan
"" bersama jajaran mengucapkan Selamat Hari Raya Waisak 2565 BE/2021.
Waisak membangkitkan semangat persatuan untuk indonesia maju, semangat optimisme dan kebersamaan untuk bisa bersama sama bangkit melewati pandemi.",,🎞,,,2,['https://pbs.twimg.com/media/E2TS-aXVgAcr8oi?format=jpg&name=small'],https://twitter.com/patriot016610/status/1397473813772701696
21,Dinas Sumber Daya Air DKI Jakarta,@DinasSDAJakarta,2021-05-26T07:58:02.000Z,"UPDATE Tinggi Muka Air, Rabu 26 Mei 2021 Pukul 15.00 WIB. 
@aniesbaswedan
@ArizaPatria
@DKIJakarta
@DinasSDAJakarta
@BPBDJakarta
@BeritaJakarta
#PasukanBiru
#PerluTahu
#JAKI
http://facebook.com/DinasSDAProvDKIJkrt/…",,,,,2,['https://pbs.twimg.com/media/E2TH4tXVEAQ7XUw?format=jpg&name=small'],https://twitter.com/DinasSDAJakarta/status/1397462014495055878
